date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:24	12926/12926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22327e-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/11.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/11.svg	(from http://ukepengen.no/upplev-veckopengen/)
15:04:25	10545/10545	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222931-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/13.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/13.svg	(from http://ukepengen.no/upplev-veckopengen/)
15:04:25	10423/10423	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2228b7-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/15.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/15.svg	(from http://ukepengen.no/upplev-veckopengen/)
15:04:25	459/459	---M--	200	added ('OK')	image/png	etag:%221cb-5308710e37bf9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/arrow-left.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/arrow-left.png	(from http://ukepengen.no/upplev-veckopengen/)
15:04:25	8658/8658	---M--	200	added ('OK')	image/png	etag:%2221d2-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/veckopengen-children.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/veckopengen-children.png	(from http://ukepengen.no/upplev-veckopengen/)
15:04:25	789/789	---M--	200	added ('OK')	image/png	etag:%22315-5308710e37bf9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/arrow-right.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/arrow-right.png	(from http://ukepengen.no/upplev-veckopengen/)
15:04:26	2184/2184	---MCZ	200	added ('OK')	application/json	date:Tue,%2014%20Feb%202017%2014:04:26%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Ftraning%2F	ukepengen.no/wp-json/oembed/1.0/embed2610.json	(from http://ukepengen.no/traning/)
15:04:26	2281/2281	---MCZ	200	added ('OK')	text/xml	date:Tue,%2014%20Feb%202017%2014:04:26%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Ftraning%2F&format=xml	ukepengen.no/wp-json/oembed/1.0/embed8d3d	(from http://ukepengen.no/traning/)
15:04:26	2316/2316	---M--	200	added ('OK')	image/png	etag:%2290c-5308710e3ca19%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/wallet-tab-icon.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/wallet-tab-icon.png	(from http://ukepengen.no/traning/)
15:04:27	1995/1995	---M--	200	added ('OK')	image/png	etag:%227cb-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/pig-tab-icon.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/pig-tab-icon.png	(from http://ukepengen.no/traning/)
